Date,Margin,Short
2021-05-20,8297433.0,514498.0
2021-05-21,8417505.0,518513.0
2021-05-24,8453913.0,519839.0
2021-05-25,8480449.0,509278.0
2021-05-26,8503672.0,523909.0
2021-05-27,8558092.0,532951.0
2021-05-28,8711705.0,556327.0
2021-05-31,8749062.0,551036.0
2021-06-01,8837885.0,563095.0
2021-06-02,8898544.0,550856.0
2021-06-03,9078805.0,559529.0
2021-06-04,9044981.0,562641.0
2021-06-07,9057692.0,552775.0
2021-06-08,9078807.0,558763.0
2021-06-09,9023542.0,570298.0
2021-06-10,9005722.0,552153.0
2021-06-11,9100800.0,540553.0
2021-06-15,9187536.0,558844.0
2021-06-16,9139505.0,532224.0
2021-06-17,9274214.0,521286.0
2021-06-18,9328222.0,506457.0
2021-06-21,9388463.0,533754.0
2021-06-22,9385582.0,535738.0
2021-06-23,9335362.0,510192.0
2021-06-24,9459720.0,506996.0
2021-06-25,9503676.0,508651.0
2021-06-28,9660882.0,514397.0
2021-06-29,9563892.0,506693.0
2021-06-30,9771526.0,500006.0
2021-07-01,9726748.0,486749.0
2021-07-02,9753692.0,479057.0
2021-07-05,9866983.0,468348.0
2021-07-06,9878318.0,458181.0
2021-07-07,9805239.0,448029.0
2021-07-08,9892312.0,453897.0
2021-07-09,9813975.0,429136.0
2021-07-12,9882422.0,430440.0
2021-07-13,9703097.0,423983.0
2021-07-14,9629947.0,383824.0
2021-07-15,9703101.0,398575.0
2021-07-16,9720086.0,410075.0
2021-07-19,9808572.0,416575.0
2021-07-20,9684158.0,386863.0
2021-07-21,9557482.0,380792.0
2021-07-22,9562605.0,367936.0
2021-07-23,9576331.0,361329.0
2021-07-26,9599001.0,355558.0
2021-07-27,9578679.0,341709.0
2021-07-28,9408531.0,327600.0
2021-07-29,9470353.0,394105.0
2021-07-30,9489914.0,402334.0
2021-08-02,9482558.0,410477.0
2021-08-03,9538035.0,413804.0
2021-08-04,9603774.0,438253.0
2021-08-05,9667516.0,452327.0
2021-08-06,9666053.0,442593.0
2021-08-09,9605857.0,448704.0
2021-08-10,9502241.0,440693.0
2021-08-11,9329306.0,449626.0
2021-08-12,9374522.0,461443.0
2021-08-13,9337801.0,464227.0
2021-08-16,9233698.0,441834.0
2021-08-17,9121506.0,447236.0
2021-08-18,9075215.0,438537.0
2021-08-19,9038307.0,462265.0
2021-08-20,8991079.0,486561.0
2021-08-23,9062070.0,484888.0
2021-08-24,8988925.0,501114.0
2021-08-25,9024278.0,468583.0
2021-08-26,9062403.0,483143.0
2021-08-27,9054641.0,479902.0
2021-08-30,9098408.0,487338.0
2021-08-31,9053314.0,495965.0
2021-09-01,9036184.0,485393.0
2021-09-02,9005555.0,501459.0
2021-09-03,9025521.0,520555.0
2021-09-06,8999375.0,524115.0
2021-09-07,8972815.0,512492.0
2021-09-08,8923938.0,516931.0
2021-09-09,8931780.0,534067.0
2021-09-10,8952967.0,520107.0
2021-09-13,8987135.0,526773.0
2021-09-14,8992461.0,548511.0
2021-09-15,8996183.0,567154.0
2021-09-16,8989974.0,575279.0
2021-09-17,9002214.0,578645.0
2021-09-22,8927635.0,534379.0
2021-09-23,8943388.0,559931.0
2021-09-24,8969852.0,567183.0
2021-09-27,8988529.0,559750.0
2021-09-28,8988071.0,542689.0
2021-09-29,8962541.0,547273.0
2021-09-30,9001277.0,561561.0
2021-10-01,8845202.0,543241.0
2021-10-04,8740282.0,548012.0
2021-10-05,8674109.0,545196.0
2021-10-06,8704169.0,557855.0
2021-10-07,8695552.0,572435.0
2021-10-08,8702151.0,580439.0
2021-10-12,8682271.0,566780.0
2021-10-13,8654025.0,574335.0
2021-10-14,8613249.0,587542.0
2021-10-15,8627906.0,591283.0
2021-10-18,8653443.0,591973.0
2021-10-19,8661132.0,589944.0
2021-10-20,8690261.0,594403.0
2021-10-21,8698606.0,607550.0
2021-10-22,8718645.0,581200.0
2021-10-25,8726667.0,579530.0
2021-10-26,8720808.0,575033.0
2021-10-27,8756750.0,553618.0
2021-10-28,8788678.0,552275.0
2021-10-29,8793272.0,541208.0
2021-11-01,8866421.0,540774.0
2021-11-02,8909426.0,532154.0
2021-11-03,8946121.0,536481.0
2021-11-04,8972408.0,535411.0
2021-11-05,8997700.0,544907.0
2021-11-08,9054335.0,543918.0
2021-11-09,9095051.0,543421.0
